,Macro,Zero,One,Roc
0,0.6578771861243775,0.9251661369546375,0.3905882352941176,0.6493112247517533
1,0.6719812491166355,0.9250435793143521,0.4189189189189189,0.6687152788474375
2,0.6583603200569781,0.9323050556983719,0.3844155844155844,0.6385200702381318
3,0.6166580574806653,0.9384443200895356,0.2948717948717949,0.5899579495394474
4,0.6575591035913932,0.916813122437024,0.39830508474576265,0.6630507891521108
5,0.6439451436880742,0.9294487289345901,0.3584415584415584,0.6260499779222246
6,0.6429562833454144,0.9332954868010218,0.3526170798898071,0.6199901420165738
7,0.6009386814340374,0.9316070925978045,0.27027027027027023,0.5813450499573847
8,0.6732650653816229,0.9216374269005848,0.4248927038626609,0.6772691332162698
9,0.6509809424906677,0.9263521288837745,0.375609756097561,0.638717743343294
10,0.6519650892530159,0.9292466342022343,0.37468354430379747,0.6356063173243789
11,0.6215606354273553,0.9302721088435375,0.3128491620111732,0.6014948707679985
12,0.6445306801742445,0.9357850070721357,0.35327635327635326,0.6184986085867142
13,0.6706395872400386,0.925754060324826,0.4155251141552511,0.6654754936693262
14,0.6307235726399096,0.9338609383832674,0.32758620689655177,0.606902642144933
