,Macro,Zero,One,Roc
0,0.7715413262773378,0.7005227781926812,0.8425598743619945,0.770696686332143
1,0.7922011239000091,0.7439678284182305,0.8404344193817878,0.8080961667520161
2,0.728874066952423,0.6056603773584905,0.8520877565463554,0.7125198466981408
3,0.7249823071479122,0.6000000000000001,0.8499646142958245,0.7091122943133802
4,0.7280156858851853,0.6065116279069768,0.8495197438633938,0.7122889351881081
5,0.7371510294168669,0.6294681778552746,0.8448338809784592,0.7236749186840732
6,0.7670066977937368,0.6729939603106125,0.861019435276861,0.7518864593490517
7,0.781506989647409,0.7123493975903614,0.8506645817044566,0.7795742108672218
8,0.7552902739072952,0.6644844517184944,0.846096096096096,0.7452373770323136
9,0.7731400008122267,0.7172131147540982,0.8290668868703551,0.7850529518090601
10,0.741762512758867,0.6271970397779834,0.8563279857397504,0.7246909293282171
11,0.7900163248429892,0.7340350877192983,0.8459975619666802,0.7981476804792671
12,0.7772201890113961,0.7122093023255813,0.842231075697211,0.7799711448300374
13,0.7412329240252341,0.6381522668947818,0.8443135811556864,0.7286368855123195
14,0.7408754643303301,0.6251162790697674,0.856634649590893,0.7236474431373099
