,Macro,Zero,One,Roc
0,0.7356716441798308,0.615819209039548,0.8555240793201134,0.7185469294030441
1,0.7547056682155935,0.6532045654082529,0.856206771022934,0.7393213656866664
2,0.7158859832292908,0.5812133072407045,0.8505586592178771,0.7002318468477948
3,0.7382086701724093,0.624087591240876,0.8523297491039427,0.722188316228344
4,0.7385062013669689,0.6184586108468125,0.8585537918871252,0.7206093491686016
5,0.7599139053359278,0.6699588477366256,0.8498689629352302,0.749131305053396
6,0.7889532953625809,0.7116165718927701,0.8662900188323917,0.7780385031789793
7,0.7531720821395045,0.6495119787045253,0.8568321855744836,0.7372343933048522
8,0.7668080193855158,0.671875,0.8617410387710315,0.7512369841904535
9,0.7211769135058388,0.5917387127761767,0.8506151142355008,0.7052399959780477
10,0.7682708816895985,0.6773920406435223,0.8591497227356747,0.7545767245874576
11,0.763255653895427,0.6689478186484175,0.8575634891424366,0.7490821998208828
12,0.7426565053733534,0.6275605214152701,0.8577524893314367,0.725177304964539
13,0.7300996176692376,0.6096654275092936,0.8505338078291815,0.7141666257456396
14,0.7515571046550873,0.645045045045045,0.8580691642651297,0.7348457744947422
