,Macro,Zero,One,Roc
0,0.5383427383427384,0.9382239382239382,0.13846153846153847,0.5352769477218816
1,0.5992334237297864,0.9356463346390599,0.26282051282051283,0.5774878572235401
2,0.5799827064418505,0.9377431906614787,0.22222222222222227,0.5620346980479138
3,0.5395897509577517,0.9391016809038303,0.14007782101167315,0.5361510735960076
4,0.5727893986213454,0.9384359400998336,0.20714285714285713,0.5568836449893718
5,0.5766381427779098,0.9389905712701053,0.21428571428571427,0.5593776634525534
6,0.6015349937932387,0.9368362213527112,0.2662337662337662,0.5786533583890412
7,0.5342207985065128,0.9376723662437949,0.13076923076923075,0.5327829292587001
8,0.6146773212732535,0.9319785492520463,0.29737609329446063,0.5933954078227206
9,0.5263462682817521,0.9368624207333884,0.11583011583011585,0.5280862676237126
