,train,val,train_loss,val_loss
0,tensor(0.4774),tensor(0.5583),0.1724728115681392,0.13063281094655393
1,tensor(0.5583),tensor(0.6447),0.12203220286364876,0.129909752542153
2,tensor(0.6447),tensor(0.7072),0.09994829796365838,0.14789785360917448
3,tensor(0.7072),tensor(0.7428),0.08134100628154936,0.18204535492695867
