,Macro,Zero,One,Roc
0,0.595043654033254,0.9360156468287231,0.254071661237785,0.5739566967540536
1,0.6730227225463262,0.9289838337182449,0.4170616113744076,0.6626554429417865
2,0.654916715371128,0.9175920514319112,0.3922413793103448,0.6578997360935687
3,0.5793207623171622,0.9404597064525062,0.21818181818181817,0.5608345399094298
4,0.6518622734076575,0.9260005758710049,0.37772397094430993,0.6403376359323496
5,0.5982026021926762,0.9313449634214969,0.26506024096385544,0.5791424067855785
6,0.6572452587849379,0.9003312255344775,0.41415929203539825,0.6933153117073821
7,0.6647290941496886,0.9042329630741519,0.4252252252252252,0.6987230830843165
8,0.6632952429886187,0.9256580850448365,0.40093240093240096,0.6556277789757966
9,0.6539548965916427,0.9262672811059908,0.3816425120772947,0.6425402791041558
10,0.6525066914824931,0.9132608056453985,0.3917525773195876,0.6617569288274133
11,0.6552008178919153,0.9222737819025522,0.3881278538812785,0.6505113828902376
12,0.6513896816030949,0.9233882625036137,0.3793911007025761,0.6437404372426399
13,0.6626736111111111,0.9253472222222222,0.4,0.6553364036844214
14,0.6515096328427233,0.9250288350634371,0.37799043062200954,0.6413747779386546
