,Macro,Zero,One,Roc
0,0.6077157170433207,0.9305477131564088,0.2848837209302326,0.5881159956049825
1,0.6155700871898055,0.9335211267605634,0.2976190476190476,0.5929410163991662
2,0.636711288366687,0.9302590378593794,0.3431635388739947,0.6170763891028208
3,0.6326351436096826,0.9113257243195786,0.3539445628997868,0.6364907119312405
4,0.6485479418508872,0.9251152073732719,0.3719806763285024,0.6375522421777928
5,0.6105704018435953,0.932055257964477,0.28908554572271383,0.5895728720618589
6,0.6434373773203156,0.9326513213981243,0.3542234332425068,0.621318659314254
7,0.6466408714356489,0.9341657207718501,0.35911602209944754,0.6227755357711304
8,0.6462429850490512,0.9322709163346614,0.3602150537634409,0.6248498197837405
9,0.6223746063603343,0.9286729184427394,0.3160762942779291,0.6038605300719838
10,0.6515945159704746,0.9266609145815359,0.37652811735941316,0.6390091186346692
11,0.6588256689723506,0.9364358683314415,0.38121546961325964,0.6327516096238562
12,0.5928145166730375,0.9348251748251748,0.2508038585209003,0.5727911955885524
13,0.6009386814340374,0.9316070925978045,0.27027027027027023,0.5813450499573847
14,0.6410621084142936,0.9288774635818338,0.3532467532467533,0.6235559594590432
