,Macro,Zero,One,Roc
0,0.7564423682891038,0.8247588424437299,0.6881258941344778,0.7509574875526619
1,0.7759114323548699,0.8289637952559301,0.7228590694538098,0.7752894300093396
2,0.7879522455188834,0.8297506448839208,0.7461538461538462,0.7931714899402214
3,0.7755204875190176,0.8249683677773091,0.7260726072607261,0.7771540110329443
4,0.7634646962233169,0.8234811165845648,0.703448275862069,0.7607871331590818
5,0.7851382680689957,0.8278231000429368,0.7424534360950545,0.7900728138487415
6,0.7815474695809103,0.8258451005562686,0.7372498386055519,0.7857988357847254
7,0.77614159452787,0.8286786160900375,0.7236045729657027,0.7757944906950128
8,0.7845691012440219,0.823375490623637,0.7457627118644068,0.7924424555580192
9,0.7867002438297825,0.8291845493562232,0.7442159383033419,0.7915784770236585
10,0.7780658411450323,0.8272957034540859,0.7288359788359788,0.7794950960959146
11,0.7734464324211421,0.8254499790707409,0.7214428857715431,0.7737932857165255
12,0.7791332511812112,0.8206239168110918,0.7376425855513307,0.7856526929477402
13,0.7753548959329395,0.8263422818791947,0.7243675099866844,0.7760565399199518
14,0.7347970866132467,0.8184663536776212,0.6511278195488722,0.7271401246637595
