,Macro,Zero,One,Roc
0,0.7971000788540427,0.8342757720748152,0.7599243856332701,0.8047402913001896
1,0.8035273085956206,0.8364918466284706,0.7705627705627706,0.8139680075971878
2,0.7920742294607993,0.8231079265562024,0.7610405323653963,0.8054581269975655
3,0.8009708096248273,0.8397932816537467,0.7621483375959078,0.8067319773965745
4,0.8031009863803873,0.8401905586834127,0.766011414077362,0.8100053529713471
5,0.799841186955361,0.8348664038545773,0.7648159700561447,0.808936438504662
6,0.8070561122613829,0.8441950798446267,0.7699171446781389,0.813347040523561
7,0.7498004069123593,0.761904761904762,0.7376960519199566,0.7812482502054958
8,0.8024372075339907,0.8426005132591959,0.7622739018087854,0.8068876391156622
9,0.7929517110364883,0.8226822682268227,0.763221153846154,0.8073910199986114
10,0.782844514744579,0.8009501187648457,0.7647389107243122,0.8085646421684237
11,0.8059957618928024,0.8483312209547951,0.7636603028308098,0.8081217341835374
12,0.8060673032144872,0.8404022737210319,0.7717323327079425,0.814959091204329
13,0.8094597111739311,0.8440766550522648,0.7748427672955974,0.8176305374696796
14,0.7963470822905996,0.8247515808491418,0.7679425837320573,0.8116649980626275
