,Macro,Zero,One,Roc
0,0.7936315410117312,0.8227334235453316,0.7645296584781306,0.8085663219711476
1,0.7839399744572157,0.8258620689655172,0.7420178799489143,0.789577272045171
2,0.7854662844824005,0.8231173380035025,0.7478152309612984,0.7941228182162285
3,0.7901248615786995,0.8300907911802853,0.7501589319771138,0.7964448655149938
4,0.7956305630994265,0.8341273278475531,0.7571337983513,0.8023896873551171
5,0.7984342990927714,0.8331870061457419,0.7636815920398009,0.8079358360154183
6,0.791363706089891,0.8292682926829268,0.7534591194968553,0.7991353495445495
7,0.7927620394453312,0.8231597845601436,0.7623642943305188,0.8066334289701018
8,0.7929206133514515,0.8371501272264631,0.7486910994764399,0.7956587178401769
9,0.7906511826285796,0.8379513014273718,0.7433510638297873,0.7915404014952485
10,0.795874753713262,0.8336951801997394,0.7580543272267846,0.8031472783836267
11,0.8009239071518729,0.829202343397927,0.7726454709058188,0.8159294572445412
12,0.7912546607025219,0.8359474353539634,0.7465618860510805,0.7939005243224236
13,0.7937113047545221,0.8346930012881064,0.7527296082209378,0.7987764316958615
14,0.793623205198768,0.8348348348348349,0.7524115755627009,0.7985239013530251
